ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
0,000000;80,000000;2,000000;10000,000000;0,000200;6,152385;-75,649866;428048,364560;680043,270389;428148,364560;680143,270389
1,000000;81,000000;5,000000;10000,000000;0,000500;6,153291;-75,648964;428148,364560;680143,270389;428248,364560;680243,270389
3,000000;82,000000;3,000000;10000,000000;0,000300;6,154197;-75,647157;428348,364560;680243,270389;428448,364560;680343,270389
4,000000;87,000000;1,000000;10000,000000;0,000100;6,158721;-75,646259;428448,364560;680743,270389;428548,364560;680843,270389
4,000000;88,000000;2,000000;10000,000000;0,000200;6,159626;-75,646260;428448,364560;680843,270389;428548,364560;680943,270389
5,000000;84,000000;2,000000;10000,000000;0,000200;6,156009;-75,645352;428548,364560;680443,270389;428648,364560;680543,270389
5,000000;85,000000;1,000000;10000,000000;0,000100;6,156913;-75,645353;428548,364560;680543,270389;428648,364560;680643,270389
5,000000;87,000000;1,000000;10000,000000;0,000100;6,158722;-75,645355;428548,364560;680743,270389;428648,364560;680843,270389
6,000000;87,000000;2,000000;10000,000000;0,000200;6,158723;-75,644451;428648,364560;680743,270389;428748,364560;680843,270389
6,000000;91,000000;2,000000;10000,000000;0,000200;6,162342;-75,644456;428648,364560;681143,270389;428748,364560;681243,270389
7,000000;12,000000;2,000000;10000,000000;0,000200;6,090882;-75,643466;428748,364560;673243,270389;428848,364560;673343,270389
7,000000;84,000000;1,000000;10000,000000;0,000100;6,156011;-75,643544;428748,364560;680443,270389;428848,364560;680543,270389
7,000000;87,000000;1,000000;10000,000000;0,000100;6,158724;-75,643547;428748,364560;680743,270389;428848,364560;680843,270389
8,000000;11,000000;2,000000;10000,000000;0,000200;6,089978;-75,642561;428848,364560;673143,270389;428948,364560;673243,270389
8,000000;12,000000;4,000000;10000,000000;0,000400;6,090883;-75,642563;428848,364560;673243,270389;428948,364560;673343,270389
8,000000;100,000000;3,000000;10000,000000;0,000300;6,170485;-75,642658;428848,364560;682043,270389;428948,364560;682143,270389
8,000000;221,000000;1,000000;10000,000000;0,000100;6,279938;-75,642791;428848,364560;694143,270389;428948,364560;694243,270389
8,000000;223,000000;2,000000;10000,000000;0,000200;6,281747;-75,642793;428848,364560;694343,270389;428948,364560;694443,270389
9,000000;12,000000;1,000000;10000,000000;0,000100;6,090884;-75,641659;428948,364560;673243,270389;429048,364560;673343,270389
9,000000;13,000000;1,000000;10000,000000;0,000100;6,091788;-75,641660;428948,364560;673343,270389;429048,364560;673443,270389
9,000000;85,000000;2,000000;10000,000000;0,000200;6,156918;-75,641738;428948,364560;680543,270389;429048,364560;680643,270389
9,000000;86,000000;2,000000;10000,000000;0,000200;6,157822;-75,641739;428948,364560;680643,270389;429048,364560;680743,270389
9,000000;87,000000;3,000000;10000,000000;0,000300;6,158727;-75,641740;428948,364560;680743,270389;429048,364560;680843,270389
9,000000;100,000000;1,000000;10000,000000;0,000100;6,170486;-75,641754;428948,364560;682043,270389;429048,364560;682143,270389
9,000000;101,000000;2,000000;10000,000000;0,000200;6,171391;-75,641755;428948,364560;682143,270389;429048,364560;682243,270389
9,000000;221,000000;1,000000;10000,000000;0,000100;6,279939;-75,641887;428948,364560;694143,270389;429048,364560;694243,270389
10,000000;12,000000;1,000000;10000,000000;0,000100;6,090885;-75,640755;429048,364560;673243,270389;429148,364560;673343,270389
10,000000;84,000000;1,000000;10000,000000;0,000100;6,156014;-75,640833;429048,364560;680443,270389;429148,364560;680543,270389
10,000000;86,000000;2,000000;10000,000000;0,000200;6,157823;-75,640835;429048,364560;680643,270389;429148,364560;680743,270389
10,000000;99,000000;1,000000;10000,000000;0,000100;6,169583;-75,640849;429048,364560;681943,270389;429148,364560;682043,270389
10,000000;100,000000;1,000000;10000,000000;0,000100;6,170487;-75,640850;429048,364560;682043,270389;429148,364560;682143,270389
10,000000;101,000000;2,000000;10000,000000;0,000200;6,171392;-75,640851;429048,364560;682143,270389;429148,364560;682243,270389
10,000000;220,000000;3,000000;10000,000000;0,000300;6,279035;-75,640982;429048,364560;694043,270389;429148,364560;694143,270389
11,000000;14,000000;2,000000;10000,000000;0,000200;6,092695;-75,639854;429148,364560;673443,270389;429248,364560;673543,270389
11,000000;15,000000;4,000000;10000,000000;0,000400;6,093600;-75,639855;429148,364560;673543,270389;429248,364560;673643,270389
11,000000;81,000000;3,000000;10000,000000;0,000300;6,153301;-75,639926;429148,364560;680143,270389;429248,364560;680243,270389
11,000000;84,000000;2,000000;10000,000000;0,000200;6,156015;-75,639929;429148,364560;680443,270389;429248,364560;680543,270389
11,000000;99,000000;1,000000;10000,000000;0,000100;6,169584;-75,639945;429148,364560;681943,270389;429248,364560;682043,270389
11,000000;100,000000;5,000000;10000,000000;0,000500;6,170488;-75,639946;429148,364560;682043,270389;429248,364560;682143,270389
11,000000;101,000000;5,000000;10000,000000;0,000500;6,171393;-75,639947;429148,364560;682143,270389;429248,364560;682243,270389
11,000000;220,000000;2,000000;10000,000000;0,000200;6,279036;-75,640078;429148,364560;694043,270389;429248,364560;694143,270389
12,000000;11,000000;1,000000;10000,000000;0,000100;6,089983;-75,638947;429248,364560;673143,270389;429348,364560;673243,270389
12,000000;15,000000;1,000000;10000,000000;0,000100;6,093601;-75,638951;429248,364560;673543,270389;429348,364560;673643,270389
12,000000;81,000000;1,000000;10000,000000;0,000100;6,153303;-75,639022;429248,364560;680143,270389;429348,364560;680243,270389
