barrio
NO APLICA
CEVILLAR
LA MAGDALENA
SAN JOSE
ALBORAYA
LA VICTORIA
SANTA MONICA
BUENOS AIRES
LAS PALMAS
SAN NICOLAS
JOSE ANTONIO GALAN
UNIVERSAL
LIMON
EL CAMPITO
EL CARMEN
SAN ISIDRO
VILLA CAROLINA
ALFONSO LOPEZ
CHIQUINQUIRA
LOS PINOS
SIMON BOLIVAR
LUCERO
BUENA ESPERANZA
EL RECREO
LOS ANDES
NUEVA GRANADA
SAN FELIPE
SANTO DOMINGO
OLAYA
LA LIBERTAD
SILENCIO
DELICIAS
BETANIA
LAS MERCEDES
LOS TRUPILLOS
LAS COLINAS
CIUDAD JARDIN
CAMPO ALEGRE
LAS ESTRELLAS
LOS ROBLES
MODELO
SANTA ELENA
LA UNION
COSTA HERMOSA
LOS NOGALES
EL SANTUARIO
BARRIO ABAJO
MONTES
VILLA COUNTRY
MONTECRISTO
SANTA ANA
SAN FRANCISCO
BELLAVISTA
LA CONCEPCION
EL PRADO
ALTOS DEL PRADO
EL GOLF
PARAISO
EL CASTILLO
SAN SALVADOR
LAS TRES AVEMARIA
LA FLORESTA
EL LIMONCITO
CIUDADELA 20 DE JULIO
BOSTON
CONIDEC
LOS GIRASOLES
LAS GAVIOTAS
LOS BALCANES
EL PARQUE
ATLANTICO
LAS NIEVES
VILLA CEVERA
LOS LAURELES
VILLA CECILIA
VISTA HERMOSA
EL RIO
HIPODROMO
SANTA INES
SALAMANCA
MARGARITAS
VILLA SALAMAR
CENTENARIO
TRIUNFO
VILLA MUVDI
VILLA KATANGA
LAS MORAS
ARBOLEDA
TRINITARIA
VILLA LAS MORAS
VILLA ESTADIO
TERRANOVA
MORA OCCIDENTE
BELLA MURILLO
CEDROS
MORA 4TA ETAPA
VILLA ESTADIO 2
ROBLES 5
ALMENDRO
CEREZOS
ALTOS LOS ROBLES
RESERVA LOS ROBLES
GALAN
EL MILAGRO
BELLA ARENA
TAIRONA
PUMAREJO
EMPLEADOS BAQ
SOLEDAD
ESTRATEGIA BAQ
