id_barrio,barrio
25494,"LA ENEA"
25495,"LA ESTRELLA"
25496,"SAN JOAQUÍN"
25497,COLOMBIA
25498,EUCALIPTUS
25499,"BAJO TABLAZO"
25500,"ONDAS DE OTUN"
25501,VELEZ
25502,"LA SULTANA"
25503,"BAJO CARIBE"
25504,CHIPRE
25505,CENTRO
25506,FATIMA
25507,"BODEGAS PARQUE CENTRO"
25508,"EL CAMPIN"
25509,"EL PARAISO"
25510,"BOSQUES DELNORTE"
25511,"VILLA JULIA"
25512,SANTOS
25513,LUSITANIA
25514,"LOS CEDROS"
25515,"LA CAROLA"
25516,"SAN JOSE"
25518,"EL CARIBE"
25519,"BAJO PRADO"
25522,"VILLA PILAR"
25523,"EL BOSQUE"
25524,PALERMO
25525,MALHABAR
25526,"LOS ALCAZARES"
25527,"LOS AGUSTINOS"
25528,"SAN JORGE"
25529,"VILLA NUEVA"
25530,"ESTACION URIBE"
25531,"LA CUMBRE"
25532,"VILLA HERMOSA"
25533,LLERAS
25534,"VILLA LUZ"
25535,MINITAS
25536,"BETANIA (FATIMA)"
25537,VIVEROS
25538,"VILLA CAFE LOS YARUMOS"
25539,"LA TOSCANA"
25540,"MINUTO DE DIOS"
25541,"ALTA SUIZA"
25542,"LA FLORIDA"
25543,COLSEGUROS
25544,"LA ARGENTINA"
25545,ARANJUEZ
25546,"ATANASIO GIRARDOT"
25547,LINARES
25548,MILAN
25549,KENNEDY
25550,"NUEVO FATIMA"
25551,PALOGRANDE
25553,VILLACARMENZA
25554,"LAS COLINAS"
25555,CASTILLA
25556,"CLIENTE EMPRESA"
25557,BETANIA
25558,GUAMAL
25559,ESTAMBUL
25560,ISABELA
25562,PALONEGRO
25563,PANORAMA
25564,"URBANIZACION GALICIA"
25565,ARRAYANES
25566,"LA FUENTE"
25567,"EL PALMAR"
25568,PRADO
25569,CERVANTES
25570,BAVARIA
25571,"CAMPO HERMOSO"
25572,"SAN ANTONIO"
25573,"PRADO ALTO"
25574,ALAMOS
25575,"PRADO MEDIO"
25576,URIBE
25577,"RESERVA DE CASTILLA"
25578,PERALONSO
25579,"BAJO PERSIA"
25580,CAMPOAMOR
25581,"BAJO CERVANTES"
25582,SAENZ
25583,"LA RAMBLA"
25584,"SAN CAYETANO"
25585,"SAN VICENTE"
25586,"LA ASUNCION"
25587,CENTENARIO
25588,LAURELES
25589,"ALTA CAROLA"
25590,NOGALES
25591,GUAYACANES
25592,"LA ESTRADA"
25593,"NUEVO HORIZONTE"
25594,"EL PEÑON"
25595,ARENILLO
25596,QUINTAHISPANIA
25597,ASTURIAS
25598,"VILLA KEMPIS"
25600,"LA CAMELIA"
25601,"LA FRANCIA"
25602,TOPACIO
25603,MORROGACHO
25604,OLAYA
25605,"BELLAS ARTES"
25606,"PORTAL DE ALCAZARES"
25607,VERSALLES
25608,"SANTA HELENA"
25611,"ALFERES REAL"
25612,"MONTANA BAJA"
25613,"LA DANIELA"
25614,"JOSE RESTREPO"
25615,"EL NEVADO"
25616,"TERRAZAS DE CAMPOHERMOSO"
25617,LIBORIO
25618,"LA PÀLMA"
25619,"AMERICAS (SAN JORGE)"
25620,"CAMILO TORRES"
25621,LEONORA
25622,FUNDADORES
25623,"ALTOS DE CAPRI"
25624,BELEN
25625,"CERROS DE LA ALHAMBRA"
25626,"PIO XII"
25627,"ALTO CARIBE"
25628,"LUSITANIA ALTA"
25629,"VILLA DEL RIO"
25630,"EL CARMEN"
25631,COMUNERO
25632,"LA CASTELLANA"
25633,MONTANA
25634,BENGALA
25635,"JESUS DE LA BUENA ESPERANZA"
25636,GALLINAZO
25637,"LOS ROSALES"
25638,"GRANJAS DE ESTAMBUL"
25639,"LA LINDA"
25640,"VILLA CAFE (CAROLA)"
25641,"FANNY GONZALEZ"
25642,GONZALEZ
25643,"LA ARBOLEDA"
25644,"LA CAROLITA"
25645,"NIÑO JESUS DE PRAGA"
25646,"PALONEGRO NUEVO"
25649,"LAS DELICIAS"
25650,"LA PRIMAVERA"
25651,"BETANIA (CUMBRE)"
25652,"BAJA LEONORA"
25653,"EL SOL"
25654,"AMERICAS (AGUSTINOS)"
25656,"PUERTAS DEL SOL"
25657,TRIANGULO
25658,"VIÑA DEL RIO"
25659,"BAJO VERSALLES"
25660,"PORTAL DEL CAFE"
25661,"COLINAS DE VILLA CAFE"
25662,"MIRADOR DE LA CAROLA"
25664,"ALTOS DE GRANADA"
25666,"AV. PARALELA"
25667,TEJARES
25668,"BAJA CAROLA"
25669,SAMARIA
25670,"VILLA QUEMPIS"
25671,"CERROS DE LA CAROLA"
25672,"CAMINO DEL PALMAR"
25673,PORVENIR
25674,VENGALA
25675,"BAJO PALERMO"
25676,"SAN RAFAEL"
25677,"SAN MARCEL"
25678,"20 DE JULIO"
25683,"ALTO PRADO"
25684,"BOSQUES DE LA ENEA"
25685,BOSQUES
25686,"VILLA CAFE MINITAS"
25687,"RINCON DE CASTILLA"
25688,"SAN SEBASTIAN"
25689,"CRISTO REY"
25690,"LAS PALMAS"
25691,"ALTO PERCIA"
25692,"LA UNION"
25693,"PORTAL DE LA HALAMBRA"
25694,CAPRI
25695,GALERIA
25696,"VILLA JARDIN"
25697,"AV KEVIN ANGEL"
25698,FANEON
25699,"ALTO TABLAZO"
25700,ALBANIA
25701,"AV LINDSAY"
25703,PERSIA
46095,"AQUILINO VILLEGAS"
46123,"OFICINA MANIZALES"
46229,"SIN ASIGNAR MANIZALES"
46487,SINAI
46488,SOLFERINO
46539,"VISTA HERMOSA"
25517,"LOS MOLINOS"
25520,"SANTA ANA"
25521,"LA PRADERA"
25647,"LA FLORESTA"
25648,TURIN
25679,URAPANES
25680,"TERRAZA DE LA GRANJA"
25681,"LA GRANJITA"
25682,"LA PORTEÑA"
25702,"ALTOS DEL PORTON"
46717,VILLAMARÍA
48744,ALTAMIRA
48745,"ALTOS DE LA VIRGEN"
48746,"ALTOS DE MONSERRATE"
48747,"BALCONES DE LA VILLA"
48748,"GERARDO ARIAS"
48749,"JORGE ELIECER GAITAN"
48750,"LA ALAMEDA"
48751,"LA CAPILLA"
48752,"LOS VAGONES"
48753,MIRAFLORES
48754,"MIRADOR DELAS LOMAS"
48755,NEREIDAS
48756,"PINARES DEL RIO"
48757,POLIDEPORTIVO
48758,POPULAR
48759,"SANTAMARIA DE LA COLINA"
48760,"VILLA DIANA"
48761,"VILLA JARDIN"
48773,ISABELA
48776,"VILLA 1"
48781,CENTRO
48782,"EL CRUCERO"
48783,"EL CENTRO"
48785,"VILLA LUISA"
48786,"VILLA 5"
48787,PALMERAL
48788,"VILLA 3"
48789,"VILLA JUANITA"
48790,"EL NAZARENO"
48791,"LOS SAUCES"
48792,"VILLA 4"
48793,"VILLA ESPERANZA"
48796,HORIZONTE
48800,"SANTA LUCIA"
48801,"EL PALMAR"
48802,"LA ALDEA"
48842,"LOS CEREZOS"
