id_barrio;barrio;id_ruta_logistica;ruta_logistica;id_centroope
1007;20 DE JULIO;86;ORIENTE 3;2
1008;7 DE AGOSTO;2;ORIENTE;2
1009;ATANASIO GIRARDOT;86;ORIENTE 3;2
1010;ANTONIO NARINO;3;SUR ORIENTE;2
1011;LAS ACACIAS;5;SUR;2
1012;AGUABLANCA;5;SUR;2
1013;ALAMEDA;100;CENTRO-OESTE 1;2
1014;LOS ALAMOS;1;NORTE;2
1015;ALCAZARES;6;NORORIENTE;2
1016;LOS ALMENDROS;6;NORORIENTE;2
1017;AMERICAS;86;ORIENTE 3;2
1018;ANDES;6;NORORIENTE;2
1019;ARANJUEZ;100;CENTRO-OESTE 1;2
1020;ASTURIAS;86;ORIENTE 3;2
1022;BRISAS DE LOS ALAMOS;1;NORTE;2
1023;BARBERENA;86;ORIENTE 3;2
1025;BARRANQUILLA;6;NORORIENTE;2
1026;LA BASE;86;ORIENTE 3;2
1027;BELALCAZAR;100;CENTRO-OESTE 1;2
1028;BENJAMIN;86;ORIENTE 3;2
1029;BOLIVARIANO;1;NORTE;2
1030;BOYACA;5;SUR;2
1031;BRETAÑA;100;CENTRO-OESTE 1;2
1032;BUENOS AIRES;100;CENTRO-OESTE 1;2
1033;CIUDAD 2000;3;SUR ORIENTE;2
1034;CIUDADELA COMFANDI;3;SUR ORIENTE;2
1035;CIUDAD MODELO;3;SUR ORIENTE;2
1036;CALDAS;100;CENTRO-OESTE 1;2
1037;CALIMA;6;NORORIENTE;2
1038;CALIMIO NORTE;6;NORORIENTE;2
1039;CALIPSO;3;SUR ORIENTE;2
1040;CAMBULOS;100;CENTRO-OESTE 1;2
1041;CANEY;3;SUR ORIENTE;2
1042;CAPRI;3;SUR ORIENTE;2
1044;CEIBAS;2;ORIENTE;2
1045;CENTENARIO;98;CENTRO;2
1046;CENTRO;98;CENTRO;2
1047;CHAMPAGNAT;100;CENTRO-OESTE 1;2
1048;CHAPINERO;86;ORIENTE 3;2
1049;CHIMINANGOS;6;NORORIENTE;2
1050;COLINAS DEL SUR;100;CENTRO-OESTE 1;2
1051;COLON;5;SUR;2
1052;COLSEGUROS;5;SUR;2
1053;COMUNEROS;3;SUR ORIENTE;2
1055;CORDOBA;3;SUR ORIENTE;2
1056;DELICIAS;6;NORORIENTE;2
1057;DEPARTAMENTAL;5;SUR;2
1058;DORADO;5;SUR;2
1059;EL BOSQUE;1;NORTE;2
1061;EL RECUERDO;5;SUR;2
1063;EVARISTO G.;6;NORORIENTE;2
1064;FARALLONES;100;CENTRO-OESTE 1;2
1065;FENALCO KENEDY;86;ORIENTE 3;2
1066;FLORA INDUSTRIAL;6;NORORIENTE;2
1067;FLORALIA;1;NORTE;2
1068;FONAVIEMCALI;6;NORORIENTE;2
1069;FORTALEZA;5;SUR;2
1070;GAITAN;6;NORORIENTE;2
1071;GRAN COLOMBIA;5;SUR;2
1072;GRANADA;98;CENTRO;2
1073;GRANJAS;5;SUR;2
1074;GUABAL;5;SUR;2
1076;GUADUALES;1;NORTE;2
1077;GUAYACANES;6;NORORIENTE;2
1078;GUAYAQUIL;100;CENTRO-OESTE 1;2
1079;INDEPENDENCIA;3;SUR ORIENTE;2
1080;INGENIO;5;SUR;2
1081;JARDIN;5;SUR;2
1083;JOSE HOLGUIN G.;3;SUR ORIENTE;2
1084;JUNIN;100;CENTRO-OESTE 1;2
1085;LA ESMERALDA;6;NORORIENTE;2
1086;LA ESPERANZA;5;SUR;2
1087;LA FLORA;1;NORTE;2
1088;LA FLORESTA;86;ORIENTE 3;2
1089;LA LIBERTAD;5;SUR;2
1090;LA MERCED;1;NORTE;2
1091;LA PLAYA;3;SUR ORIENTE;2
1092;LA SELVA;5;SUR;2
1093;LA SIRENA;5;SUR;2
1094;LARES COMFANDI;1;NORTE;2
1095;LARES COMFENALCO;1;NORTE;2
1096;LAS VEGAS;3;SUR ORIENTE;2
1097;LEON XIII;5;SUR;2
1098;LIDO;100;CENTRO-OESTE 1;2
1099;LIMONAR;5;SUR;2
1100;LLANOGRANDE;11;PALMIRA;2
1102;MANZANARES;1;NORTE;2
1103;MARIANO RAMOS;3;SUR ORIENTE;2
1104;MARROQUIN;6;NORORIENTE;2
1105;MAYAPAN;3;SUR ORIENTE;2
1106;MELENDEZ;100;CENTRO-OESTE 1;2
1107;METROPOLITANO;6;NORORIENTE;2
1108;MOJICA;5;SUR;2
1109;MORICHAL;3;SUR ORIENTE;2
1110;MULTICENTRO;5;SUR;2
1111;MUNICIPAL;86;ORIENTE 3;2
1112;NUEVO SALOMIA;6;NORORIENTE;2
1113;NUEVA BASE;86;ORIENTE 3;2
1114;NUEVA FLORESTA;86;ORIENTE 3;2
1115;NUEVA GRANADA;100;CENTRO-OESTE 1;2
1116;NAPOLES;100;CENTRO-OESTE 1;2
1118;NUEVA SELVA;5;SUR;2
1119;OLAYA HERRERA;6;NORORIENTE;2
1120;OASIS DE COMFANDI;1;NORTE;2
