id_barrio,barrio,latitud,longitud,ruta_cobro,nom_ruta
1007,20 DE JULIO,3.4355389864292287,-76.51221632634335,7,ORIENTE 3
1008,7 DE AGOSTO,3.4479715083615816,-76.48688598533538,8,ORIENTE
1009,ATANASIO GIRARDOT,3.444588171452421,-76.50842196286519,7,ORIENTE 3
1010,ANTONIO NARINO,3.4156288166595083,-76.50662045832988,9,SUR ORIENTE
1011,LAS ACACIAS,3.429929118762792,-76.51642962891704,2,SUR
1012,AGUABLANCA,3.429027216840618,-76.51533242035073,2,SUR
1013,ALAMEDA,3.4342119710309627,-76.53648125452165,11,CENTRO-OESTE 1
1014,LOS ALAMOS,3.4857300506779647,-76.50661009776029,5,NORORIENTE
1015,ALCAZARES,3.4861579846819595,-76.49129526084666,5,NORORIENTE 1
1016,LOS ALMENDROS,3.473535448550741,-76.49867750790067,3,NORORIENTE
1017,AMERICAS,3.44789596586655,-76.5073819313282,7,ORIENTE 3
1018,ANDES,3.4711417140303085,-76.50020569354567,3,NORORIENTE
1019,ARANJUEZ,3.436094407665665,-76.52660413708455,11,CENTRO-OESTE 1
1020,ASTURIAS,3.4317669393181065,-76.51283521076022,2,ORIENTE 3
1022,BRISAS DE LOS ALAMOS,3.49303933954378,-76.50270852718936,6,NORTE
1023,BARBERENA,3.4346820850367563,-76.5068762292652,2,ORIENTE 3
1025,BARRANQUILLA,3.476156081924868,-76.49793542071015,3,NORORIENTE
1026,LA BASE,3.447899667376109,-76.49601869898345,8,ORIENTE 3
1027,BELALCAZAR,3.4372408960492398,-76.5245702608383,11,CENTRO-OESTE 1
1028,BENJAMIN,3.4470704347051644,-76.51543321373458,7,ORIENTE 3
1029,BOLIVARIANO,3.469538085611541,-76.51189343170505,13,NORORIENTE
1030,BOYACA,3.4227380349213483,-76.51948389357166,12,SUR
1031,BRETAÑA,3.435048833177336,-76.53446541585292,11,CENTRO-OESTE 1
1032,BUENOS AIRES,3.3931030384725687,-76.54857642285373,12,CENTRO-OESTE 1
1033,CIUDAD 2000,3.3977864133796727,-76.52000110251952,4,SUR ORIENTE
1034,CIUDADELA COMFANDI,3.387844356819352,-76.52023568527477,4,SUR ORIENTE
1035,CIUDAD MODELO,3.418589863975155,-76.51429373730961,12,SUR ORIENTE
1036,CALDAS,3.3972588000078763,-76.54828400594158,12,CENTRO-OESTE 1
1037,CALIMA,3.484427434983027,-76.5010149681179,13,NORORIENTE
