id_barrio,barrio,latitud,longitud,ruta_cobro,nom_ruta
26088.0,LOS CAMBULOS,,,,
34954.0,ALBANIA (2500 LTS),4.796728079406573,-75.73008793898376,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34955.0,AURORA,4.820317579766542,-75.67945030012027,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
34956.0,AV SANTANDER,4.814246666666667,-75.683945,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34957.0,BOSTON,4.7996195356354825,-75.69728839065245,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34958.0,LA CAMPIÑA,4.798984327443512,-75.73339982111166,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34959.0,DEPARTAMENTO (2500 LTS),4.79571186241461,-75.7298811802599,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34960.0,GRACIELA,4.827205395966701,-75.69850308859739,"RUTA 5 DOSQ JUAN PABLO M,J,S",DOSQUEBRADAS
34961.0,LA HABANA (CUBA),4.800294753493247,-75.73454698818729,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34962.0,HEROES (2500 LTS),4.79745995571042,-75.73206627088348,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34963.0,INDEPENDIENTES,4.798396062132023,-75.73107295716721,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34964.0,LA FRANCIA,4.793871981067875,-75.73004512260545,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34965.0,LA HACIENDA,4.806985278274882,-75.73345961177041,RUTA 4.1 CUBA - DIEGO ARENAS,RUTA CUBA
34966.0,LA SULTANA,4.819058683468711,-75.67579247207013,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
34968.0,PADRE VALENCIA,4.800998609850268,-75.72348121390452,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34969.0,PROVIDENCIA,4.803755658987996,-75.69764171087006,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34970.0,SAN CAMILO,4.8185336686086035,-75.70523116481299,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
34971.0,SANTA MONICA,4.822621589791982,-75.67838009703651,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
34972.0,1 DE FEBRERO CENTRO,4.815158894697901,-75.70545050821137,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
34973.0,1 DE MAYO,4.818279948481456,-75.70211541320452,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
34974.0,LOTES 2500,4.796833358460322,-75.73075474449759,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34975.0,30 DE AGOSTO CUBA,4.80719742595991,-75.73644852970132,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34977.0,ACUARELA (CUBA),4.8002392639863425,-75.73025274382272,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34978.0,ACUARIO (CUBA),4.799890415287024,-75.73499972273073,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34979.0,AGUAS CLARAS,4.797889383492944,-75.71509933524362,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CUBA
34980.0,ALAMEDA (CUBA),4.802358473642473,-75.7364881924048,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34981.0,ALAMOS,4.79873271743836,-75.69332072558801,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34983.0,ALEJANDRIA (CUCHILLA),4.792642589231682,-75.73085527777401,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34984.0,ALFONSO LOPEZ,4.810700205227725,-75.67749090548232,RUTA 2 PARQUE INDUS MI Y S DIEGO PATIÑO,RUTA CENTRO
34985.0,ALMENDROS (2500 LTS),4.794563865814754,-75.72998538852663,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34987.0,ALPES,4.805774123981813,-75.6905823123584,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34988.0,AMERICA,4.8180576974575935,-75.68907821354503,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
34990.0,ATENAS (CUBA),4.7970993461512546,-75.74446952722607,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
34991.0,LA AURORA,4.820335017940366,-75.67946354546218,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
34992.0,AV LAS AMERICAS,4.806177125669966,-75.71854298978742,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34993.0,AV SANTANDER,,,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34994.0,BAIRON GAVIRIA,4.819348627852659,-75.71011930821605,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
34995.0,BALALAIKA,4.834035852083321,-75.68289138843494,,DOSQUEBRADAS
34996.0,BARAJAS,4.8008688561202,-75.70548082574943,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
34998.0,BAVARIA,4.8165537689141695,-75.68699190042656,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35000.0,BELLA SARDI,4.796513817192897,-75.72022555058646,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35001.0,BELLO HORIZONTE (CUBA),4.797747098156839,-75.74827420665578,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35002.0,BELMONTE,4.807832189378403,-75.75681466036119,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35003.0,BERLIN,4.810804673276849,-75.68308353208315,RUTA 2 PARQUE INDUS MI Y S DIEGO PATIÑO,RUTA CENTRO
35005.0,BIRMANIA,4.792515157065324,-75.73599422232014,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35006.0,BOMBAY NUEVO,4.846301840929708,-75.66634098455685,"RUTA 5 DOSQ JUAN PABLO L,MI,V",DOSQUEBRADAS
35007.0,BOQUIA,4.822904632226857,-75.72925922233338,RUTA 2 PARQUE INDUS MI Y S DIEGO PATIÑO,RUTA CENTRO
35008.0,BOSTON,4.799590587137799,-75.6969939427545,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35009.0,BUENOS AIRES,4.837994184721389,-75.6708964870592,"RUTA 5 DOSQ JUAN PABLO L,MI,V",DOSQUEBRADAS
35010.0,CARLOS A BENAVIDEZ.,4.795884992454083,-75.72926118236812,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35013.0,CACHIPAY,4.80086993357413,-75.71172768881597,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35014.0,CAMBULOS,4.819509012278235,-75.6806300120017,,RUTA CENTRO
35015.0,CAMILO TORRES,4.844139339575462,-75.65872142874262,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35016.0,CAMPESTRE,4.832777473403154,-75.68548234883916,"RUTA 5 DOSQ JUAN PABLO M,J,S",DOSQUEBRADAS
35019.0,CAÑARTE,4.818293438143786,-75.70852115950956,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35020.0,CAÑAVERAL,4.809731045297497,-75.73840217501228,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35021.0,CARDAL,4.791669293277376,-75.73388965656416,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35022.0,CARLOS A BEMAVIDEZ,4.798304466653541,-75.73287908491683,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35023.0,CARLOS ALBERTO BENAVIDEZ (2500 LTS),4.795323346613105,-75.72858203577744,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35024.0,CASAS DE MILAN,4.829414122049918,-75.67167817352774,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35025.0,CENTENARIO,4.8077347235838275,-75.69762985069477,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35026.0,CENTRO,4.814610635231943,-75.69801323705882,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35027.0,CESAR AUGUSTO,4.8515344,-75.6540658,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35028.0,CIRCUNVALAR,4.806843163461156,-75.68975078978161,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35029.0,CISNES,4.8015712211130195,-75.74096715334449,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35030.0,CIUDAD JARDIN,4.797196794080251,-75.69418752259372,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35031.0,CIUDADELA CUBA PUEBLITO PAISA,4.7981126,-75.7242748,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CUBA
35032.0,CIUDADELA DEL CAFÉ,,,,RUTA CUBA
35033.0,CODELMAR (CUBA),4.797824993817307,-75.74361229896422,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35034.0,COLINAS,4.8327746079902765,-75.66357728352008,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35035.0,VEREDA COMBIA,4.824953361098368,-75.68582280026897,RUTA 2 CENTRO - DIEGO PATIÑO,
35036.0,COMFAMILIAR  PARQUE INDUSTRIAL,4.823426663456757,-75.73448334485259,RUTA 2 PARQUE INDUS MI Y S DIEGO PATIÑO,RUTA CENTRO
35037.0,CONSOTA,4.8022505,-75.7218984,RUTA 4.1 CUBA - DIEGO ARENAS,RUTA CUBA
35039.0,CORALES,4.801465876361497,-75.745978275405,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35040.0,CORALINA (CUBA),4.8011412353453755,-75.74758710510899,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35041.0,COROCITO,4.80977434072148,-75.6863804263868,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35042.0,CRISTALES (CUBA),4.803793129856125,-75.73532753710262,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35043.0,CUBA CENTRO,4.805688475688093,-75.7365897306495,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35044.0,DEPARTAMENTO,4.794543353286152,-75.72933325039182,RUTA 4.1 CUBA - DIEGO ARENAS,RUTA CUBA
35045.0,DOSQUEBRADAS,4.832503394805072,-75.67047056923325,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35046.0,EDEN (CUBA),4.794252751782186,-75.73570294574053,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35047.0,EL BOSQUE (ALAMOS),4.793110692337231,-75.68608860072001,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35048.0,EL CARDAL (CUBA),4.792143119960702,-75.73399378359493,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35049.0,EL CHICO KENEDY,4.804957115143925,-75.6674022678326,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35050.0,EL CHICO RESTREPO,4.80478476588243,-75.66795088412636,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35051.0,EL EDEN,4.793888855187377,-75.73572248131887,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35052.0,EL LAGO,4.812259845598176,-75.69803919299002,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35053.0,EL MARTILLO,4.836767654924332,-75.66406717760978,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35056.0,EL PLUMON,4.812036893755487,-75.7312245878068,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35057.0,EL TRIUNFO,4.81791990747013,-75.71788195568158,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35058.0,GALAN (CENTRO),4.8207840328924885,-75.70564748629249,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35059.0,GALICIA,4.8088765585976265,-75.80109074376861,RUTA 3 CERRITOS L Y M - LUIS GALLEGO,LA VIRGINIA - BELMONTE BAJO
35060.0,GAMA (CUBA),4.805793167373487,-75.74547607207376,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35062.0,GIBRALTAR,4.790642798071503,-75.73296068452154,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35063.0,GIRASOLES (CUBA),4.793655478649224,-75.73509292437988,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35064.0,LA GRACIELA,4.827145739503343,-75.69797986485318,"RUTA 5 DOSQ JUAN PABLO M,J,S",DOSQUEBRADAS
35065.0,GUADALUPE (CUBA),4.801557095060616,-75.73221988594563,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35066.0,GUADUALES,4.834352484860442,-75.69263406974294,"RUTA 5 DOSQ JUAN PABLO M,J,S",DOSQUEBRADAS
35067.0,GUALANDAY (CENTRO),4.819600691571658,-75.70011997235515,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35068.0,GUAYACANES,4.795298416504523,-75.73624231787791,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35069.0,HABANA,4.800373386333659,-75.73343675411515,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35070.0,HAMBURGO,4.801364778372092,-75.70359849457436,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35071.0,HEROES,4.797844428454286,-75.73212535253565,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35073.0,INDEPENDIENTES (2500 LTS),4.79382664642827,-75.72924772482033,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35074.0,EL JAPON,4.817250776837892,-75.67941408905675,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35075.0,JARDIN,4.809824428944952,-75.712968724086,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35076.0,JARDINES DE MILAN,4.829363071932541,-75.67717661844493,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35077.0,JOSE MARIA C,4.798353055333615,-75.73897257761969,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35078.0,KENNEDY,4.808045488711111,-75.6719993877316,RUTA 2 PARQUE INDUS MI Y S DIEGO PATIÑO,RUTA CENTRO
35079.0,LA BADEA,4.824894065452876,-75.69562796560217,"RUTA 5 DOSQ JUAN PABLO M,J,S",DOSQUEBRADAS
35080.0,LA COLINA,4.832395026016098,-75.66356714934014,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35081.0,LA DIVISA (CUBA),4.8042421901212995,-75.72800422527438,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35082.0,LA ESPERANZA,4.819647270444075,-75.70562756863153,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35083.0,LA FLORESTA (CUBA),4.801795542052271,-75.73493180385059,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35084.0,LA FRANCIA (2500 LTS),4.794580904962201,-75.72993864699775,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35086.0,LA ISLA,4.801011189451867,-75.73907931515195,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35090.0,LA ROMELIA,4.857449665589696,-75.65634027098459,"RUTA 5 DOSQ JUAN PABLO L,MI,V",DOSQUEBRADAS
35091.0,LA SULTANA,4.8187621081357,-75.67605023539367,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35093.0,LA UNIDAD,4.794706943714502,-75.69715154550177,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35094.0,LA VICTORIA,4.813440925650495,-75.70305547676443,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35095.0,LA VILLA (CUBA),4.805761126589485,-75.74781123478466,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35096.0,LAS GAVIOTAS,4.797273770879753,-75.69723619214253,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35097.0,LAS MERCEDES,4.80442775100769,-75.73390127485133,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35098.0,LAURELES,4.799591701826815,-75.73950708569394,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35099.0,LIBERTADOR (2500 LTS),4.797962799375105,-75.73441735043221,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35100.0,LIBERTADORES (CUCHILLA),4.797495358409966,-75.73541413939148,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35101.0,LORENA,4.805891207730605,-75.69754847892517,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35102.0,LOS CEDROS,4.808736685444657,-75.71340467150414,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35103.0,LOS MOLINOS,4.8327533080642535,-75.667274462093,RUTA 1 DOSQ - JUAN PADILLA,DOSQUEBRADAS
35104.0,LOS OLIVOS,4.830985835830643,-75.6868635245581,"RUTA 5 DOSQ JUAN PABLO M,J,S",DOSQUEBRADAS
35105.0,LOS PINOS CUBA,4.803057622672887,-75.73434254505587,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35106.0,MARAYA,4.813765362500249,-75.71724348175424,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35107.0,MEJIA ROBLEDO,4.805619772486912,-75.6952854470959,RUTA 2 CENTRO - DIEGO PATIÑO,RUTA CENTRO
35108.0,METROPOLITANO 2500 LTS,4.797986047891513,-75.7327416641841,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35109.0,MILAN RUBIO,4.8208937374993885,-75.70030871130096,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CENTRO
35111.0,MONTELIBANO,4.789331724209715,-75.72657520554634,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35112.0,NACEDEROS,4.815209914542273,-75.71185472239644,RUTA 3 CENTRO - LUIS GALLEGO,RUTA CUBA
35113.0,NARANJITOS,4.798869141622828,-75.72477880482377,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
35114.0,NARANJOS,4.840410051717166,-75.66861649189208,"RUTA 5 DOSQ JUAN PABLO L,MI,V",DOSQUEBRADAS
35115.0,NAVARRA,,,RUTA 4.1 CUBA - DIEGO ARENAS,RUTA CUBA
35116.0,OLIMPICO (GAMA),4.804204079598974,-75.7458228629781,RUTA 4 CUBA - DIEGO ARENAS,RUTA CUBA
