id_barrio;barrio;origen
1130;PARAISO COMFANDI;cobro_no_logistica
1311;URBA. NIZA;cobro_no_logistica
1210;MANUEL MA. B/VENTURA;cobro_no_logistica
1231;CIUDAD DEL SUR;cobro_no_logistica
1306;PORTAL DE LA AUTONOMA;cobro_no_logistica
1207;MONTANARES;cobro_no_logistica
1269;ALCALA;cobro_no_logistica
48771;ARBOLEDA CAMPESTRE;cobro_no_logistica
1024;BARLOVENTO;cobro_no_logistica
1253;PORTAL DE SAJONIA;cobro_no_logistica
1158;SAN MARCOS;cobro_no_logistica
11331;LLERAS CAMARGO;cobro_no_logistica
1219;JAM-BELLO HORIZONTE;cobro_no_logistica
12186;ALTOS DE LA CIUDADELA;cobro_no_logistica
26369;URB ENTRE COLINA;cobro_no_logistica
12322;ROBLEDO LA PORTADA;cobro_no_logistica
12682;UR LA PASTORA CRA 64D 103FF-76 GIRARDOT;cobro_no_logistica
12685;UR MANAOS CLL 27 B-58D-334 CABAÑAS;cobro_no_logistica
12700;UR MANAOS CALLE 27B # 58D-334 CABAÑAS;cobro_no_logistica
12094;ETERNA PRIMAVERA;cobro_no_logistica
12321;LOS PINOS;cobro_no_logistica
12134;CASAS DE COMFENALCO;cobro_no_logistica
12095;CERROS DEL VERGEL;cobro_no_logistica
12695;TIERRADENTRO;cobro_no_logistica
12680;JUAN DEL CORRAL;cobro_no_logistica
13251;BRASILIA SAN R;cobro_no_logistica
46111;CENTRO SAN DIEGO;cobro_no_logistica
13264;LIRA Y ARPA;cobro_no_logistica
13520;RIVERA BOSA;cobro_no_logistica
12746;OLIVOS BOSA;cobro_no_logistica
13521;SULTANA BOSA;cobro_no_logistica
13524;GUALOCHE;cobro_no_logistica
13509;LA PALESTINA ENGATIVA;cobro_no_logistica
13504;MORISCOS ENGATIVA;cobro_no_logistica
48752;LOS VAGONES;cobro_no_logistica
48753;MIRAFLORES;cobro_no_logistica
48755;NEREIDAS;cobro_no_logistica
48759;SANTAMARIA DE LA COLINA;cobro_no_logistica
48791;LOS SAUCES;cobro_no_logistica
25671;CERROS DE LA CAROLA;cobro_no_logistica
25592;LA ESTRADA;cobro_no_logistica
46539;VISTA HERMOSA;cobro_no_logistica
25701;AV LINDSAY;cobro_no_logistica
25659;BAJO VERSALLES;cobro_no_logistica
25667;TEJARES;cobro_no_logistica
25824;URBANIZACION LA RIVIERA;cobro_no_logistica
25941;EL MIRADOR;cobro_no_logistica
25712;JUAN BOSCO;cobro_no_logistica
25967;CONJ PORTAL DE OVIEDO (VIA GIRON);cobro_no_logistica
25767;CHICO REAL II;cobro_no_logistica
25887;AFRICA;cobro_no_logistica
25786;VILLA SOLAR;cobro_no_logistica
25791;QUINTAS DE SANTA ANA;cobro_no_logistica
25939;VILLA SAN PEDRO;cobro_no_logistica
26520;ALMENDROS;cobro_no_logistica
46450;CONDOMINIO SAN MARCOS;cobro_no_logistica
46538;FRAISAL;cobro_no_logistica
26590;VISTA ALEGRE;cobro_no_logistica
48639;BUCAREST;cobro_no_logistica
26699;GUALANDAYES;cobro_no_logistica
26514;RAMON ARCILA;cobro_no_logistica
26510;HOJARASCA;cobro_no_logistica
26587;LOS SERNAS;cobro_no_logistica
12217;SANTA MARIA DE LOS ANGELES;cobro_no_logistica
48644;ANCON SUR;cobro_no_logistica
48651;LOS ALCAZARES;cobro_no_logistica
26434;AGIZAL;cobro_no_logistica
26453;AIDAS DEL PRADO;cobro_no_logistica
26324;ALFONSO LOPEZ;cobro_no_logistica
26436;ALTO LA PLAYITA;cobro_no_logistica
26328;BELENCITO;cobro_no_logistica
26406;BENALCAZAR;cobro_no_logistica
26329;BOSTON;cobro_no_logistica
26478;COMFAMA;cobro_no_logistica
26455;FLORES Y COLORES;cobro_no_logistica
26591;LA CEJA;cobro_no_logistica
26344;MEDELLIN;cobro_no_logistica
26345;MILAGROSA;cobro_no_logistica
26536;NARAPO;cobro_no_logistica
26346;NIQUIA;cobro_no_logistica
26547;PALOMA;cobro_no_logistica
26391;PORTON DEL LIMONAR;cobro_no_logistica
26439;PRADOS DE MARIA;cobro_no_logistica
26447;PRIMAVERAL;cobro_no_logistica
26562;PUMBAL;cobro_no_logistica
26352;ROBLEDO;cobro_no_logistica
26360;SAN JUAN;cobro_no_logistica
26375;SAN PEDRO DE LOS MILAGROS;cobro_no_logistica
26435;SANTUARIO;cobro_no_logistica
26366;TORRES DE SAMARIA;cobro_no_logistica
26368;URB COMPARTIR;cobro_no_logistica
26758;OASIS 2;cobro_no_logistica
26460;ESPERANZA-1;cobro_no_logistica
26415;CRISTO REY-1;cobro_no_logistica
26565;VILLA SOL;cobro_no_logistica
26512;VALLE SOL;cobro_no_logistica
45640;7 DE AGOSTO D/DAS;cobro_no_logistica
46507;NUEVO BOSQUE;cobro_no_logistica
45681;PORTAL DEL SOL D/DAS;cobro_no_logistica
45675;SAN SEBASTIAN D/DAS;cobro_no_logistica
45660;BOSQUES DE SAN MARTIN;cobro_no_logistica
45682;CONJUNTO ZUITAMA D/DAS;cobro_no_logistica
45668;MERCURIO D/DAS;cobro_no_logistica
45665;VILLA DEL PILAR D/DAS;cobro_no_logistica
45643;QUINTAS DE SAN SEBASTIAN D/DAS;cobro_no_logistica
35214;VILLA FANNY;cobro_no_logistica
45638;VILLA FANNY D/DAS;cobro_no_logistica
45645;VILLA DE LOS LAGOS D/DAS;cobro_no_logistica
46513;PUEBLO SOL;cobro_no_logistica
48871;LOS JUNCOS;cobro_no_logistica
48872;MIRADOR DE VILLAVENTO;cobro_no_logistica
48818;CAMINOS DE LA PRADERA;cobro_no_logistica
48819;RESERVA DE LA PRADERA;cobro_no_logistica
48820;RINCON DE LA PRADERA;cobro_no_logistica
48816;TERRA GRATA CONJUNTO RESIDENCIAL;cobro_no_logistica
48864;UNIDAD RESIDENCIAL COLMENARES;cobro_no_logistica
