id_barrio;barrio;origen
1130;PARAISO COMFANDI;cobro
1311;URBA. NIZA;cobro
1093;LA SIRENA;cobro
1231;CIUDAD DEL SUR;cobro
1306;PORTAL DE LA AUTONOMA;cobro
1207;MONTANARES;cobro
48771;ARBOLEDA CAMPESTRE;cobro
1024;BARLOVENTO;cobro
1253;PORTAL DE SAJONIA;cobro
1307;MADROÑAL;cobro
1281;ALIRIO MORA BELTRAN;cobro
11885;LAUREANO GOMEZ;cobro
1123;ORQUIDEAS;cobro
1219;JAM-BELLO HORIZONTE;cobro
26371;VALLE SUR;cobro
26369;URB ENTRE COLINA;cobro
12698;UR. CERCANÍAS DE LA MOTA. CALLE 9A-73-95;cobro
12322;ROBLEDO LA PORTADA;cobro
12264;ROBLEDO (BALCON DEL VALLE 2);cobro
12317;LOPEZ DE MESA(URB. ALTAMIRA);cobro
12682;UR LA PASTORA CRA 64D 103FF-76 GIRARDOT;cobro
12685;UR MANAOS CLL 27 B-58D-334 CABAÑAS;cobro
12700;UR MANAOS CALLE 27B # 58D-334 CABAÑAS;cobro
12094;ETERNA PRIMAVERA;cobro
12134;CASAS DE COMFENALCO;cobro
12095;CERROS DEL VERGEL;cobro
12695;TIERRADENTRO;cobro
12133;ARALIAS;cobro
12582;EL TREBOL;cobro
12680;JUAN DEL CORRAL;cobro
12594;PEDREGAL1;cobro
13246;GAITAN CORTES;cobro
13248;LEON CORKIDI;cobro
13251;BRASILIA SAN R;cobro
46111;CENTRO SAN DIEGO;cobro
13264;LIRA Y ARPA;cobro
46209;LA FLORESTA KENNEDY;cobro
48740;LUNA PARK ANTONIO NARIÑO;cobro
12746;OLIVOS BOSA;cobro
13521;SULTANA BOSA;cobro
13524;GUALOCHE;cobro
48743;ISLANDIA BOSA;cobro
13509;LA PALESTINA ENGATIVA;cobro
13447;DORADO NORTE ENGATIVA;cobro
13504;MORISCOS ENGATIVA;cobro
25680;TERRAZA DE LA GRANJA;cobro
25648;TURIN;cobro
25679;URAPANES;cobro
25520;SANTA ANA;cobro
48744;ALTAMIRA;cobro
48746;ALTOS DE MONSERRATE;cobro
48748;GERARDO ARIAS;cobro
48750;LA ALAMEDA;cobro
48752;LOS VAGONES;cobro
48754;MIRADOR DELAS LOMAS;cobro
48753;MIRAFLORES;cobro
48755;NEREIDAS;cobro
48756;PINARES DEL RIO;cobro
48757;POLIDEPORTIVO;cobro
48759;SANTAMARIA DE LA COLINA;cobro
48760;VILLA DIANA;cobro
48761;VILLA JARDIN;cobro
48781;CENTRO;cobro
48783;EL CENTRO;cobro
48773;ISABELA;cobro
48788;VILLA 3;cobro
48786;VILLA 5;cobro
48789;VILLA JUANITA;cobro
48790;EL NAZARENO;cobro
48791;LOS SAUCES;cobro
48792;VILLA 4;cobro
48800;SANTA LUCIA;cobro
48801;EL PALMAR;cobro
48842;LOS CEREZOS;cobro
48745;ALTOS DE LA VIRGEN;cobro
48747;BALCONES DE LA VILLA;cobro
48782;EL CRUCERO;cobro
48802;LA ALDEA;cobro
48751;LA CAPILLA;cobro
25681;LA GRANJITA;cobro
25517;LOS MOLINOS;cobro
48787;PALMERAL;cobro
48776;VILLA 1;cobro
48793;VILLA ESPERANZA;cobro
48785;VILLA LUISA;cobro
25702;ALTOS DEL PORTON;cobro
48796;HORIZONTE;cobro
48749;JORGE ELIECER GAITAN;cobro
25682;LA PORTEÑA;cobro
48758;POPULAR;cobro
25647;LA FLORESTA;cobro
25521;LA PRADERA;cobro
25555;CASTILLA;cobro
25562;PALONEGRO;cobro
25674;VENGALA;cobro
25634;BENGALA;cobro
25518;EL CARIBE;cobro
