id_barrio;barrio;origen
1093;LA SIRENA;logistica
1123;ORQUIDEAS;logistica
1196;OTRO;logistica
1281;ALIRIO MORA BELTRAN;logistica
1307;MADROÑAL;logistica
11885;LAUREANO GOMEZ;logistica
12133;ARALIAS;logistica
12264;ROBLEDO (BALCON DEL VALLE 2);logistica
12288;NIQUIA (GUAYACANES DE TERRANOVA);logistica
12317;LOPEZ DE MESA(URB. ALTAMIRA);logistica
12330;PENDIENTES SACAR;logistica
12582;EL TREBOL;logistica
12594;PEDREGAL1;logistica
12612;EL PALMAR;logistica
12623;EL ALTO;logistica
12642;MIRADOR DEL CARRETERO;logistica
12662;ALTOS DE VILLA MARIA;logistica
12670;CALLE DE LA CALLEJA;logistica
12683;UR 7 ALTOS DEL CASTILLO CRA 88 31DA-41;logistica
12698;UR. CERCANÍAS DE LA MOTA. CALLE 9A-73-95;logistica
12765;CATANIA;logistica
12808;BENJAMIN HERRERA;logistica
12834;VILLA ADRIANA ENGATIVA;logistica
12871;AMARU BOSA;logistica
13246;GAITAN CORTES;logistica
13248;LEON CORKIDI;logistica
13276;DANUBIO;logistica
13316;NEW YORK ABAJO;logistica
13333;SABANA GRANDE FONT;logistica
13373;SANTIAGO FONT;logistica
13380;SAN VICENTE FONT;logistica
13388;NOGAL FONT;logistica
13400;EL TRIUNFO FONT;logistica
13401;LANDERO FONT;logistica
13447;DORADO NORTE ENGATIVA;logistica
13481;SANTA MONICA ENGATIVA;logistica
13500;EL MIRADOR;logistica
13560;SALAZAR GOMEZ ENGATIVA;logistica
13567;CASANDRA FONT;logistica
13569;VELODROMO SAN CRISTOBAL;logistica
13575;SANTA ANA;logistica
13582;JULIO FLORES;logistica
13583;CUNDINAMARCA;logistica
13585;MARCO FIDEL SUAREZ;logistica
25494;LA ENEA;logistica
25495;LA ESTRELLA;logistica
25496;SAN JOAQUÍN;logistica
25497;COLOMBIA;logistica
25498;EUCALIPTUS;logistica
25499;BAJO TABLAZO;logistica
25500;ONDAS DE OTUN;logistica
25501;VELEZ;logistica
25502;LA SULTANA;logistica
25503;BAJO CARIBE;logistica
25504;CHIPRE;logistica
25505;CENTRO;logistica
25506;FATIMA;logistica
25507;BODEGAS PARQUE CENTRO;logistica
25508;EL CAMPIN;logistica
25509;EL PARAISO;logistica
25510;BOSQUES DELNORTE;logistica
25511;VILLA JULIA;logistica
25512;SANTOS;logistica
25513;LUSITANIA;logistica
25514;LOS CEDROS;logistica
25515;LA CAROLA;logistica
25516;SAN JOSE;logistica
25517;LOS MOLINOS;logistica
25518;EL CARIBE;logistica
25519;BAJO PRADO;logistica
25520;SANTA ANA;logistica
25521;LA PRADERA;logistica
25522;VILLA PILAR;logistica
25523;EL BOSQUE;logistica
25524;PALERMO;logistica
25525;MALHABAR;logistica
25526;LOS ALCAZARES;logistica
25527;LOS AGUSTINOS;logistica
25528;SAN JORGE;logistica
25529;VILLA NUEVA;logistica
25530;ESTACION URIBE;logistica
25531;LA CUMBRE;logistica
25532;VILLA HERMOSA;logistica
25533;LLERAS;logistica
25534;VILLA LUZ;logistica
25535;MINITAS;logistica
25536;BETANIA (FATIMA);logistica
25537;VIVEROS;logistica
25538;VILLA CAFE LOS YARUMOS;logistica
25539;LA TOSCANA;logistica
25540;MINUTO DE DIOS;logistica
25541;ALTA SUIZA;logistica
25542;LA FLORIDA;logistica
25543;COLSEGUROS;logistica
25544;LA ARGENTINA;logistica
25545;ARANJUEZ;logistica
25546;ATANASIO GIRARDOT;logistica
25547;LINARES;logistica
25548;MILAN;logistica
25549;KENNEDY;logistica
25550;NUEVO FATIMA;logistica
25551;PALOGRANDE;logistica
25553;VILLACARMENZA;logistica
25554;LAS COLINAS;logistica
25555;CASTILLA;logistica
25557;BETANIA;logistica
25558;GUAMAL;logistica
25559;ESTAMBUL;logistica
25560;ISABELA;logistica
25562;PALONEGRO;logistica
25563;PANORAMA;logistica
25564;URBANIZACION GALICIA;logistica
25565;ARRAYANES;logistica
25566;LA FUENTE;logistica
25567;EL PALMAR;logistica
25568;PRADO;logistica
25569;CERVANTES;logistica
25570;BAVARIA;logistica
25571;CAMPO HERMOSO;logistica
25572;SAN ANTONIO;logistica
25573;PRADO ALTO;logistica
25574;ALAMOS;logistica
25575;PRADO MEDIO;logistica
25576;URIBE;logistica
25577;RESERVA DE CASTILLA;logistica
25578;PERALONSO;logistica
25579;BAJO PERSIA;logistica
25580;CAMPOAMOR;logistica
25581;BAJO CERVANTES;logistica
25582;SAENZ;logistica
25583;LA RAMBLA;logistica
25584;SAN CAYETANO;logistica
25585;SAN VICENTE;logistica
25586;LA ASUNCION;logistica
25587;CENTENARIO;logistica
25588;LAURELES;logistica
25589;ALTA CAROLA;logistica
25590;NOGALES;logistica
25591;GUAYACANES;logistica
25593;NUEVO HORIZONTE;logistica
25594;EL PEÑON;logistica
25595;ARENILLO;logistica
25596;QUINTAHISPANIA;logistica
25597;ASTURIAS;logistica
25598;VILLA KEMPIS;logistica
25600;LA CAMELIA;logistica
25601;LA FRANCIA;logistica
25602;TOPACIO;logistica
25603;MORROGACHO;logistica
25604;OLAYA;logistica
25605;BELLAS ARTES;logistica
25606;PORTAL DE ALCAZARES;logistica
25607;VERSALLES;logistica
25608;SANTA HELENA;logistica
25611;ALFERES REAL;logistica
25613;LA DANIELA;logistica
25614;JOSE RESTREPO;logistica
25615;EL NEVADO;logistica
25616;TERRAZAS DE CAMPOHERMOSO;logistica
25617;LIBORIO;logistica
25618;LA PÀLMA;logistica
25619;AMERICAS (SAN JORGE);logistica
25620;CAMILO TORRES;logistica
25621;LEONORA;logistica
25622;FUNDADORES;logistica
25623;ALTOS DE CAPRI;logistica
25624;BELEN;logistica
25625;CERROS DE LA ALHAMBRA;logistica
25626;PIO XII;logistica
25627;ALTO CARIBE;logistica
25628;LUSITANIA ALTA;logistica
25629;VILLA DEL RIO;logistica
25630;EL CARMEN;logistica
25631;COMUNERO;logistica
25632;LA CASTELLANA;logistica
25633;MONTANA;logistica
25634;BENGALA;logistica
25635;JESUS DE LA BUENA ESPERANZA;logistica
25636;GALLINAZO;logistica
25637;LOS ROSALES;logistica
25638;GRANJAS DE ESTAMBUL;logistica
25639;LA LINDA;logistica
25640;VILLA CAFE (CAROLA);logistica
25641;FANNY GONZALEZ;logistica
25642;GONZALEZ;logistica
25643;LA ARBOLEDA;logistica
25644;LA CAROLITA;logistica
25645;NIÑO JESUS DE PRAGA;logistica
25646;PALONEGRO NUEVO;logistica
25647;LA FLORESTA;logistica
25648;TURIN;logistica
25649;LAS DELICIAS;logistica
25650;LA PRIMAVERA;logistica
25651;BETANIA (CUMBRE);logistica
25652;BAJA LEONORA;logistica
25653;EL SOL;logistica
25654;AMERICAS (AGUSTINOS);logistica
25656;PUERTAS DEL SOL;logistica
25657;TRIANGULO;logistica
25658;VIÑA DEL RIO;logistica
25660;PORTAL DEL CAFE;logistica
25661;COLINAS DE VILLA CAFE;logistica
25662;MIRADOR DE LA CAROLA;logistica
25664;ALTOS DE GRANADA;logistica
25666;AV. PARALELA;logistica
25668;BAJA CAROLA;logistica
25669;SAMARIA;logistica
25672;CAMINO DEL PALMAR;logistica
25673;PORVENIR;logistica
25674;VENGALA;logistica
25675;BAJO PALERMO;logistica
25676;SAN RAFAEL;logistica
25677;SAN MARCEL;logistica
25678;20 DE JULIO;logistica
25679;URAPANES;logistica
25680;TERRAZA DE LA GRANJA;logistica
25681;LA GRANJITA;logistica
25682;LA PORTEÑA;logistica
25683;ALTO PRADO;logistica
25684;BOSQUES DE LA ENEA;logistica
25685;BOSQUES;logistica
25686;VILLA CAFE MINITAS;logistica
25687;RINCON DE CASTILLA;logistica
25688;SAN SEBASTIAN;logistica
25689;CRISTO REY;logistica
25690;LAS PALMAS;logistica
25691;ALTO PERCIA;logistica
25693;PORTAL DE LA HALAMBRA;logistica
25694;CAPRI;logistica
25695;GALERIA;logistica
25696;VILLA JARDIN;logistica
25697;AV KEVIN ANGEL;logistica
25698;FANEON;logistica
25699;ALTO TABLAZO;logistica
25700;ALBANIA;logistica
25702;ALTOS DEL PORTON;logistica
25703;PERSIA;logistica
25780;LAURELES;logistica
25782;ALAMEDA;logistica
25813;MUTUALIDAD;logistica
25816;TEJADOS;logistica
25865;VILLA INES;logistica
25915;ESPERANZA 2;logistica
25923;PABLON;logistica
26268;LOS JOBOS;logistica
26371;VALLE SUR;logistica
26424;RODEO - NO USAR;logistica
26441;CENTRAL MAYORISTA;logistica
26444;GUAMALITO;logistica
26487;TANQUES;logistica
26596;LOS DOLORES;logistica
26602;SANTA FE-GUAYABAL;logistica
34954;ALBANIA (2500 LTS);logistica
34955;AURORA;logistica
34956;AV SANTANDER;logistica
34957;BOSTON;logistica
34958;LA CAMPIÑA;logistica
34959;DEPARTAMENTO (2500 LTS);logistica
34960;GRACIELA;logistica
34961;LA HABANA (CUBA);logistica
34962;HEROES (2500 LTS);logistica
34963;INDEPENDIENTES;logistica
34964;LA FRANCIA;logistica
34965;LA HACIENDA;logistica
34966;LA SULTANA.;logistica
34968;PADRE VALENCIA;logistica
34969;PROVIDENCIA;logistica
34970;SAN CAMILO;logistica
34971;SANTA MONICA;logistica
34972;1 DE FEBRERO CENTRO;logistica
34973;1 DE MAYO;logistica
34974;LOTES 2500;logistica
34975;30 DE AGOSTO CUBA;logistica
34977;ACUARELA (CUBA);logistica
34978;ACUARIO (CUBA);logistica
34979;AGUAS CLARAS;logistica
34980;ALAMEDA (CUBA);logistica
34981;ALAMOS;logistica
34983;ALEJANDRIA (CUCHILLA);logistica
34984;ALFONSO LOPEZ;logistica
34985;ALMENDROS (2500 LTS);logistica
34987;ALPES;logistica
34988;AMERICA;logistica
34990;ATENAS (CUBA);logistica
34991;LA AURORA;logistica
34992;AV LAS AMERICAS;logistica
34994;BAIRON GAVIRIA;logistica
34995;BALALAIKA;logistica
34996;BARAJAS;logistica
34998;BAVARIA;logistica
34999;BELALCAZAR;logistica
35000;BELLA SARDI;logistica
35001;BELLO HORIZONTE (CUBA);logistica
35002;BELMONTE;logistica
35003;BERLIN;logistica
35005;BIRMANIA;logistica
35006;BOMBAY NUEVO;logistica
35007;BOQUIA;logistica
35008;BOSTON;logistica
35009;BUENOS AIRES;logistica
35010;CARLOS A BENAVIDEZ.;logistica
35013;CACHIPAY;logistica
35014;CAMBULOS;logistica
35015;CAMILO TORRES;logistica
35016;CAMPESTRE;logistica
35017;CAMPIN (BELMONTE);logistica
35018;CAMPIÑA;logistica
35019;CAÑARTE;logistica
35020;CAÑAVERAL;logistica
35021;CARDAL;logistica
35022;CARLOS A BEMAVIDEZ;logistica
35023;CARLOS ALBERTO BENAVIDEZ (2500 LTS);logistica
35024;CASAS DE MILAN;logistica
35025;CENTENARIO;logistica
35026;CENTRO;logistica
35027;CESAR AUGUSTO;logistica
35028;CIRCUNVALAR;logistica
35029;CISNES;logistica
35030;CIUDAD JARDIN;logistica
35033;CODELMAR (CUBA);logistica
35034;COLINAS;logistica
35035;VEREDA COMBIA;logistica
35036;COMFAMILIAR  PARQUE INDUSTRIAL;logistica
35037;CONSOTA;logistica
35039;CORALES;logistica
35040;CORALINA (CUBA);logistica
35041;COROCITO;logistica
35042;CRISTALES (CUBA);logistica
35043;CUBA CENTRO;logistica
35044;DEPARTAMENTO;logistica
35045;DOSQUEBRADAS;logistica
35046;EDEN (CUBA);logistica
35047;EL BOSQUE (ALAMOS);logistica
35048;EL CARDAL (CUBA);logistica
35049;EL CHICO KENEDY;logistica
35050;EL CHICO RESTREPO;logistica
35051;EL EDEN;logistica
35052;EL LAGO;logistica
