id_barrio;barrio;id_ruta_cobro;ruta_cobro;id_centroope
1200;SAMAN;9;3;2
1025;BARRANQUILLA;9;3;2
1131;"PARQUE BOSQUE";9;3;2
1259;"ALTOS MENGA";9;3;2
1264;"BRISAS DE LOS ANDES";9;3;2
1016;"LOS ALMENDROS";9;3;2
1165;SENA;9;3;2
1277;"BRISAS DEL GUABITO";9;3;2
1182;"VILLA DEL PARQUE";9;3;2
46175;FLORA;9;3;2
1275;"SOLARES DE SALOMIA";9;3;2
1018;ANDES;9;3;2
1315;CAMPIÑA;9;3;2
1059;"EL BOSQUE";9;3;2
1087;"LA FLORA";9;3;2
1284;"ALFONSO LOPEZ";9;3;2
1142;"QUINTAS DE SALOMIA";9;3;2
1276;"SOLARES DE COMFANDI";9;3;2
1173;"TEJARES SALOMIA";9;3;2
1247;"SANTA BARBARA";9;3;2
1188;"VILLA DE VERACRUZ";9;3;2
1186;"VILLA DEL PRADO";9;3;2
1112;"NUEVO SALOMIA";9;3;2
1152;SALOMIA;9;3;2
1280;"PALMERAS DEL NORTE";9;3;2
46250;"CACIQUE JACINTO";12;6;2
46236;CORVIVALLE;12;6;2
46248;GAITAN;12;6;2
46247;GUACANDA;12;6;2
46244;"PORTALES DE COMFANDI";12;6;2
46252;"PORTALES DE YUMBO";12;6;2
46242;CENCAR;12;6;2
46245;"SAN FERNANDO";12;6;2
46241;BELALCAZAR;12;6;2
46240;BOLIVAR;12;6;2
1067;FLORALIA;12;6;2
46235;"LA ESTANCIA";12;6;2
46246;MUNICIPAL;12;6;2
46249;PIZARRO;12;6;2
46237;URIBE;12;6;2
1107;METROPOLITANO;12;6;2
1282;"PLAZAS VERDES";12;6;2
1190;"VILLA DEL SOL";12;6;2
1049;CHIMINANGOS;12;6;2
1171;"TORRES DE COMFANDI";12;6;2
48619;"CIUDAD GUABINAS";12;6;2
11890;YUMBO;12;6;2
1022;"BRISAS DE LOS ALAMOS";12;6;2
1028;BENJAMIN;13;7;2
1226;INDUSTRIAL;13;7;2
1111;MUNICIPAL;13;7;2
1009;"ATANASIO GIRARDOT";13;7;2
1048;CHAPINERO;13;7;2
1088;"LA FLORESTA";13;7;2
1141;PRIMITIVO;13;7;2
1151;"SAAVEDRA GALINDO";13;7;2
1166;"SIMON BOLIVAR";13;7;2
1178;TRONCAL;13;7;2
1180;URIBE;13;7;2
1184;"VILLA COLOMBIA";13;7;2
1017;AMERICAS;13;7;2
1163;"SANTA FE";13;7;2
1130;"PARAISO COMFANDI";13;7;2
1311;"URBA. NIZA";19;10;2
1181;"VILLA  DE PAL";19;10;2
1265;"CAMINO REAL";19;10;2
1057;DEPARTAMENTAL;19;10;2
1099;LIMONAR;19;10;2
1110;MULTICENTRO;19;10;2
1128;PANAMERICANO;19;10;2
1305;"QUINTAS DE DON SIMON";19;10;2
1160;"SANTA ANITA";19;10;2
1197;"1 DE MAYO";19;10;2
11892;"BOSQUE DEL LIMONAR";19;10;2
1296;CAMELIAS;19;10;2
1262;CAÑAVERALES;19;10;2
1254;"SAMANES GUADALUPE";19;10;2
1183;"VILLA DE GUADALUPE";19;10;2
1310;"GRAN LIMONAR";19;10;2
1203;PASOANCHO;19;10;2
1304;"JORGE SAWASKY";19;10;2
1238;"JOAQUIN BORRERO SINISTERRA";19;10;2
1042;CAPRI;19;10;2
1092;"LA SELVA";19;10;2
1156;"SAN JUDAS";19;10;2
1211;"LA HACIENDA";19;10;2
1073;GRANJAS;19;10;2
1285;"SANTO DOMINGO";19;10;2
1074;GUABAL;19;10;2
1118;"NUEVA SELVA";19;10;2
1273;GUADALUPE;19;10;2
1169;SANTO.DOMINGO;19;10;2
1093;"LA SIRENA";20;11;2
1208;MIRAFLORES;20;11;2
11325;"STA TERESITA";20;11;2
1121;OBRERO;20;11;2
11922;PILOTO;20;11;2
1154;"SAN BOSCO";20;11;2
1170;SUCRE;20;11;2
1210;"MANUEL MA. B/VENTURA";20;11;2
1046;CENTRO;20;11;2
11340;"SANTA TERESITA";20;11;2
1293;NACIONAL;20;11;2
1263;PEÑON;20;11;2
