cod_cuadrante;k_total;k_2021;k_2022;k_2023;k_2024;dias_any_total;dias_ge2_total;area_m2;area_km2;density_naive_per_m2;density_naive_per_km2;idba_total;idba_2021;idba_2022;idba_2023;idba_2024;weight_prior_2021;weight_prior_2022;weight_prior_2023;weight_prior_2024;rank_idba_total;percentile_idba_total
MZ_012;3181;254;0;1386;1541;87;83;641595.03;0.6415950300000001;0.004957956111349553;4957.956111349553;4105.668971436863;303.4135477328534;0.0;1753.2968703070376;1988.2657030312791;0.2358236057784303;0.2358236057784303;0.2358236057784303;0.2358236057784303;1.0;100.0
MZ_028;2131;1214;0;518;399;36;34;497824.46;0.49782446;0.004280625343318807;4280.625343318808;3444.9724402273437;1745.7728328347291;0.0;868.1141853454817;757.8521876295681;0.28454958531539265;0.28454958531539265;0.28454958531539265;0.28454958531539265;2.0;96.66666666666667
MZ_018;1737;1063;0;384;290;48;43;414593.23;0.41459323;0.004189648731118933;4189.648731118933;3269.8618728690276;1736.4726573835178;0.0;767.3192859412977;682.8866341417336;0.3232107990339694;0.3232107990339694;0.3232107990339694;0.3232107990339694;3.0;93.33333333333333
MZ_020;2827;1522;0;427;878;87;72;827743.15;0.82774315;0.003415310655243719;3415.310655243719;3015.4664193761732;1484.5336117274574;0.0;500.1771797658223;981.0771459076401;0.19302699870601697;0.19302699870601697;0.19302699870601697;0.19302699870601697;4.0;90.0
MZ_025;1867;983;0;185;699;45;36;545436.89;0.5454368900000001;0.0034229441283298604;3422.94412832986;2869.232546329714;1323.2453504194755;0.0;364.5940468713816;1112.8500703495993;0.26632586656025997;0.26632586656025997;0.26632586656025997;0.26632586656025997;5.0;86.66666666666667
MZ_009;1991;0;0;936;1055;61;53;594337.36;0.59433736;0.003349949261140171;3349.949261140171;2848.6517687603755;0.9377987839952702;0.0;1289.9266941890473;1493.4744773588454;0.24988900557025454;0.24988900557025454;0.24988900557025454;0.24988900557025454;6.0;83.33333333333334
MZ_008;792;362;0;199;231;17;16;204380.13;0.20438013;0.0038751320884275785;3875.1320884275788;2629.5835462279147;901.504209800055;0.0;708.4204598977469;893.0180991405655;0.49206594487886646;0.49206594487886646;0.49206594487886646;0.49206594487886646;7.0;80.0
MZ_016;1087;709;0;188;190;31;25;329014.88;0.32901488;0.0033038019435473556;3303.8019435473557;2567.4642633084204;1346.7352590031535;0.0;520.0107656378215;604.0272523890105;0.37569527371121947;0.37569527371121947;0.37569527371121947;0.37569527371121947;8.0;76.66666666666667
MZ_029;1027;1;0;746;280;31;28;306037.91;0.30603790999999997;0.003355793404810535;3355.793404810535;2565.4654845815962;3.4582024312059207;0.0;1650.7862389919233;810.12227915004;0.3928218056090221;0.3928218056090221;0.3928218056090221;0.3928218056090221;9.0;73.33333333333333
MZ_017;1610;820;0;553;237;56;44;556290.43;0.55629043;0.0028941716649700405;2894.171664970041;2487.2269491888474;1088.1064445497916;0.0;847.2266893947656;484.33701419656006;0.2624936598287866;0.2624936598287866;0.2624936598287866;0.2624936598287866;10.0;70.0
MZ_014;394;124;0;150;120;32;30;113310.09;0.11331009;0.003477183717707752;3477.1837177077523;2120.360833317966;400.7097049649214;0.0;758.2618227565482;797.7007129103184;0.6360161686172985;0.6360161686172985;0.6360161686172985;0.6360161686172985;11.0;66.66666666666666
MZ_026;1219;467;0;388;364;50;37;609922.01;0.60992201;0.001998616183731425;1998.6161837314248;1838.1580736811813;578.9492366171486;0.0;586.7567985092504;609.37982820768;0.24506866919001766;0.24506866919001766;0.24506866919001766;0.24506866919001766;12.0;63.33333333333333
MZ_007;1214;0;0;226;988;45;39;639571.25;0.63957125;0.0018981466099359532;1898.1466099359532;1767.1189456087213;0.8871517131374794;0.0;372.56854583298576;1332.823747866801;0.2363934174039093;0.2363934174039093;0.2363934174039093;0.2363934174039093;13.0;60.0
MZ_030;64;64;0;0;0;1;1;14340.14;0.01434014;0.0044629968745075015;4462.996874507501;1554.5200376237242;304.9094434073844;0.0;405.25950372246996;604.3668972190428;0.9324646551760434;0.9324646551760434;0.9324646551760434;0.9324646551760434;14.0;56.666666666666664
MZ_005;498;131;0;279;88;82;62;354553.76;0.35455376;0.001404582481370385;1404.582481370385;1382.826853380535;238.4278307866656;0.0;660.6670946292026;391.5100108569731;0.3583305923695586;0.3583305923695586;0.3583305923695586;0.3583305923695586;15.0;53.333333333333336
MZ_024;188;0;0;15;173;9;7;146513.89;0.14651389;0.0012831547916719703;1283.1547916719703;1318.048064586088;2.156832838872448;0.0;293.3185706057751;874.6603819002611;0.5747169035461486;0.5747169035461486;0.5747169035461486;0.5747169035461486;16.0;50.0
MZ_019;226;0;0;0;226;32;21;202123.16;0.20212316;0.0011181301539120998;1118.1301539121;1229.8349387854526;1.8570717844677196;0.0;215.0636460920383;885.5590937964049;0.4948415688024149;0.4948415688024149;0.4948415688024149;0.4948415688024149;17.0;46.666666666666664
MZ_021;1519;195;0;232;1092;87;67;1287666.81;1.2876668100000002;0.0011796529880272366;1179.6529880272365;1201.538120105632;131.75476520139978;0.0;214.08026268644136;821.4038211207757;0.1332706857057105;0.1332706857057105;0.1332706857057105;0.1332706857057105;18.0;43.333333333333336
MZ_001;62;0;0;62;0;1;1;101062.83;0.10106283;0.0006134797531397052;613.4797531397053;1097.0430654571771;2.4846298912918203;0.0;495.0574811515002;429.1088574154062;0.6620628042402902;0.6620628042402902;0.6620628042402902;0.6620628042402902;19.0;40.0
MZ_004;167;0;0;0;167;3;3;206231.19;0.20623119;0.0008097708207958263;809.7708207958262;1071.378684174475;1.83819892780939;0.0;212.87801955941822;730.6016100610324;0.4898126441939525;0.4898126441939525;0.4898126441939525;0.4898126441939525;20.0;36.666666666666664
MZ_015;5;0;0;5;0;2;2;75171.99;0.07517199000000001;6.65141364489619e-05;66.5141364489619;992.3576010452488;2.7201236062859833;0.0;333.3157033957084;469.77988021997965;0.7248132484317736;0.7248132484317736;0.7248132484317736;0.7248132484317736;21.0;33.33333333333333
MZ_023;525;0;0;13;512;25;22;683890.27;0.68389027;0.0007676670118438737;767.6670118438738;897.0320565330535;0.8425680385872272;0.0;112.31720685168806;726.090261285392;0.22451350212979587;0.22451350212979587;0.22451350212979587;0.22451350212979587;22.0;30.0
MZ_002;563;0;0;563;0;17;16;756542.95;0.7565429499999999;0.000744174537612174;744.1745376121739;868.5661611428765;0.7784377296304953;0.0;679.9633059813951;134.44035504101254;0.20742512517132058;0.20742512517132058;0.20742512517132058;0.20742512517132058;23.0;26.666666666666668
MZ_003;589;1;0;588;0;22;18;831686.64;0.83168664;0.0007081994247256395;708.1994247256395;830.4308216032158;1.6928030077891678;0.0;654.6205729017308;124.62922306886998;0.1922877411858856;0.1922877411858856;0.1922877411858856;0.1922877411858856;24.0;23.333333333333332
MZ_013;56;0;0;0;56;1;1;201982.86;0.20198286;0.0002772512479524253;277.2512479524253;805.2430081539576;1.857723188135384;0.0;215.13908380479523;460.8464017867069;0.49501514400587593;0.49501514400587593;0.49501514400587593;0.49501514400587593;25.0;20.0
MZ_022;37;0;0;0;37;2;2;182044.53;0.18204453;0.00020324697479237635;203.24697479237634;797.4943466660502;1.9551864153576395;0.0;226.42609876115188;435.0293838744845;0.5209855220292708;0.5209855220292708;0.5209855220292708;0.5209855220292708;26.0;16.666666666666664
MZ_010;58;0;0;58;0;6;2;481168.55;0.48116855;0.00012053988150306166;120.53988150306166;477.17436960022127;1.094063857538701;0.0;212.10041518291783;188.95067369725368;0.2915279205481263;0.2915279205481263;0.2915279205481263;0.2915279205481263;27.0;13.333333333333334
MZ_011;156;3;0;59;94;38;23;707855.42;0.70785542;0.00022038398745325704;220.38398745325705;465.94827543885293;4.132081435737777;0.0;160.12674699096127;245.43610562651685;0.21857378130562266;0.21857378130562266;0.21857378130562266;0.21857378130562266;28.0;10.0
MZ_006;39;0;0;0;39;5;3;532285.87;0.53228587;7.326889966100359e-05;73.26889966100359;417.75632210357577;1.017482914853543;0.0;117.83259394438427;229.128831662475;0.2711219060172701;0.2711219060172701;0.2711219060172701;0.2711219060172701;29.0;6.666666666666667
MZ_027;40;3;0;12;25;13;6;618397.94;0.6183979399999999;6.468326851153483e-05;64.68326851153483;374.91683681715784;4.584860344576424;0.0;120.10256823103673;187.81202412653946;0.24252432529644477;0.24252432529644477;0.24252432529644477;0.24252432529644477;30.0;3.3333333333333335
FUERA;1108;222;21;395;470;328;203;;;;;;;;;;;;;;;
