cod_cuadrante;k_total;area_m2;area_km2;density_naive_per_m2;density_naive_per_km2;density_idba_per_km2;density_idba_lower_95;density_idba_upper_95;credible_interval_width;shrinkage_factor;rank_density_idba;percentile_idba
MZ_012;3181;641595.03;0.6415950300000001;0.004957956111349553;4957.956111349553;4955.6584569598;4784.950529744712;5129.316555919528;344.3660261748155;0.0007641721487139589;1.0;100.0
MZ_030;64;14340.14;0.01434014;0.0044629968745075015;4462.996874507501;4379.897378898807;3380.006406872622;5507.373986077728;2127.367579205106;0.03308411359888401;2.0;96.66666666666667
MZ_028;2131;497824.46;0.49782446;0.004280625343318807;4280.625343318808;4278.33171599065;4098.632543177741;4461.832182189924;363.19963901218307;0.000984646021784186;3.0;93.33333333333333
MZ_018;1737;414593.23;0.41459323;0.004189648731118933;4189.648731118933;4187.002735325162;3992.446065234389;4386.122886496116;393.6768212617267;0.0011820839390135809;4.0;90.0
MZ_008;792;204380.13;0.20438013;0.0038751320884275785;3875.1320884275788;3870.5243636085415;3605.77978405697;4144.514448607346;538.7346645503758;0.0023949924479485505;5.0;86.66666666666667
MZ_014;394;113310.09;0.11331009;0.003477183717707752;3477.1837177077523;3470.604417705392;3136.72451763085;3821.1270961091154;684.4025784782652;0.004311605918065377;6.0;83.33333333333334
MZ_025;1867;545436.89;0.5454368900000001;0.0034229441283298604;3422.94412832986;3421.621396253654;3268.197560888383;3578.5149831257067;310.3174222373236;0.0008987712762376437;7.0;80.0
MZ_020;2827;827743.15;0.82774315;0.003415310655243719;3415.310655243719;3414.4433030487867;3289.747034527804;3541.4266765885286;251.67964206072475;0.0005924220867940043;8.0;76.66666666666667
MZ_029;1027;306037.91;0.30603790999999997;0.003355793404810535;3355.793404810535;3353.5451072536066;3151.6472094909223;3561.6224398228674;409.9752303319451;0.0016007121229708082;9.0;73.33333333333333
MZ_009;1991;594337.36;0.59433736;0.003349949261140171;3349.949261140171;3348.79548239164;3203.3334938496396;3497.441983796563;294.1084899469233;0.0008248838061506727;10.0;70.0
MZ_016;1087;329014.88;0.32901488;0.0033038019435473556;3303.8019435473557;3301.787843579819;3108.481415498488;3500.842826384494;392.36141088600607;0.0014890918024713135;11.0;66.66666666666666
MZ_017;1610;556290.43;0.55629043;0.0028941716649700405;2894.171664970041;2893.3406987651256;2753.7613218747147;3036.3221691113486;282.5608472366339;0.0008812511950018782;12.0;63.33333333333333
MZ_026;1219;609922.01;0.60992201;0.001998616183731425;1998.6161837314248;1998.5780956722876;1887.9883473201844;2112.2709811082905;224.28263378810607;0.0008038234219925409;13.0;60.0
MZ_007;1214;639571.25;0.63957125;0.0018981466099359532;1898.1466099359532;1898.1873050137385;1792.9397623153784;2006.3942391459898;213.45447683061138;0.0007665883467055702;14.0;56.666666666666664
MZ_005;498;354553.76;0.35455376;0.001404582481370385;1404.582481370385;1405.3379404144268;1284.7172645604137;1531.293252130948;246.57598757053438;0.0013819791870318936;15.0;53.333333333333336
MZ_024;188;146513.89;0.14651389;0.0012831547916719703;1283.1547916719703;1285.3846662486371;1108.63691239779;1475.0135429552568;366.3766305574668;0.0033377469682403975;16.0;50.0
MZ_021;1519;1287666.81;1.2876668100000002;0.0011796529880272366;1179.6529880272365;1179.9468855783607;1121.3664123846565;1239.9978437790585;118.63143139440194;0.00038090374379505206;17.0;46.666666666666664
MZ_019;226;202123.16;0.20212316;0.0011181301539120998;1118.1301539121;1120.1476538000406;979.1463811858749;1270.4953016353193;291.34892044944434;0.0024216709143947877;18.0;43.333333333333336
MZ_004;167;206231.19;0.20623119;0.0008097708207958263;809.7708207958262;812.4801337280103;694.2496923663319;939.8701931872007;245.62050082086876;0.0023735468453921593;19.0;40.0
MZ_023;525;683890.27;0.68389027;0.0007676670118438737;767.6670118438738;768.515564144307;704.231442618386;835.5672185679877;131.3357759496016;0.00071694575355117;20.0;36.666666666666664
MZ_002;563;756542.95;0.7565429499999999;0.000744174537612174;744.1745376121739;744.9568805840668;684.7342746373125;807.6814417756173;122.94716713830474;0.0006481403142066945;21.0;33.33333333333333
MZ_003;589;831686.64;0.83168664;0.0007081994247256395;708.1994247256395;708.9323353895296;652.8727361383513;767.2679819067939;114.39524576844258;0.0005896147396531853;22.0;30.0
MZ_001;62;101062.83;0.10106283;0.0006134797531397052;613.4797531397053;619.9432151815299;476.3361120307449;782.1821754656886;305.8460634349437;0.004831581712239171;23.0;26.666666666666668
MZ_013;56;201982.86;0.20198286;0.0002772512479524253;277.2512479524253;281.30788885159996;213.03615534346872;358.9235579192211;145.88740257575236;0.0024233489630728073;24.0;23.333333333333332
MZ_011;156;707855.42;0.70785542;0.00022038398745325704;220.38398745325705;221.5829283599869;188.27361756773695;257.56527736835056;69.29165980061362;0.0006926896548535043;25.0;20.0
MZ_022;37;182044.53;0.18204453;0.00020324697479237635;203.24697479237634;207.9456501145193;147.12367653818592;279.1255368513602;132.0018603131743;0.002688051513145023;26.0;16.666666666666664
MZ_010;58;481168.55;0.48116855;0.00012053988150306166;120.53988150306166;122.40479964220141;93.1703892090844;155.567260510232;62.396871301147584;0.0010186953559271931;27.0;13.333333333333334
MZ_015;5;75171.99;0.07517199000000001;6.65141364489619e-05;66.5141364489619;78.73632856817778;28.76582803603376;153.42237883420043;124.65655079816668;0.0064848902130374645;28.0;10.0
MZ_006;39;532285.87;0.53228587;7.326889966100359e-05;73.26889966100359;74.99842248251304;53.569553586791976;99.97637151100024;46.40681792420826;0.0009209564857482565;29.0;6.666666666666667
MZ_027;40;618397.94;0.6183979399999999;6.468326851153483e-05;64.68326851153483;66.17895259506214;47.48227846059545;87.93102523632402;40.448746775728566;0.0007928147347860138;30.0;3.3333333333333335
FUERA;1108;;;;;;;;;;;
