cod_cuadrante,ciudad,area_m2,perimetro_m,centroid_lon,centroid_lat,compactness_polsby,elongation_ratio,holes_count
MZ_001,MANIZALES,101062.83,1814.6,-75.509562,5.035617,0.3857,1.81,0
MZ_002,MANIZALES,756542.95,6265.41,-75.517848,5.045929,0.2422,1.24,0
MZ_003,MANIZALES,831686.64,6016.63,-75.512187,5.043193,0.2887,1.35,0
MZ_004,MANIZALES,206231.19,2476.6,-75.513261,5.084417,0.4225,1.39,0
MZ_005,MANIZALES,354553.76,2923.55,-75.50022,5.062283,0.5213,1.11,0
MZ_006,MANIZALES,532285.87,6650.91,-75.531486,5.070686,0.1512,1.1,0
MZ_007,MANIZALES,639571.25,4691.35,-75.522361,5.062808,0.3652,1.01,0
MZ_008,MANIZALES,204380.13,2635.8,-75.499497,5.042692,0.3697,1.68,0
MZ_009,MANIZALES,594337.36,6740.1,-75.495346,5.074958,0.1644,1.13,0
MZ_010,MANIZALES,481168.55,4164.32,-75.480786,5.05009,0.3487,1.41,0
MZ_011,MANIZALES,707855.42,6501.44,-75.490296,5.059689,0.2104,1.64,0
MZ_012,MANIZALES,641595.03,5297.2,-75.462019,5.031801,0.2873,2.49,0
MZ_013,MANIZALES,201982.86,2856.48,-75.547235,5.092681,0.3111,1.06,0
MZ_014,MANIZALES,113310.09,2509.34,-75.47767,5.03057,0.2261,1.48,0
MZ_015,MANIZALES,75171.99,2066.59,-75.521913,5.037039,0.2212,1.16,0
MZ_016,MANIZALES,329014.88,2601.53,-75.503351,5.047839,0.6109,1.23,0
MZ_017,MANIZALES,556290.43,4085.91,-75.498883,5.051991,0.4187,1.06,0
MZ_018,MANIZALES,414593.23,5007.17,-75.50774,5.055378,0.2078,1.86,0
MZ_019,MANIZALES,202123.16,2914.47,-75.514857,5.060366,0.299,1.57,0
MZ_020,MANIZALES,827743.15,4920.31,-75.507635,5.061702,0.4297,1.19,0
MZ_021,MANIZALES,1287666.81,6466.77,-75.515976,5.067788,0.3869,1.47,0
MZ_022,MANIZALES,182044.53,2907.05,-75.527085,5.085652,0.2707,1.41,0
MZ_023,MANIZALES,683890.27,4663.63,-75.524005,5.076662,0.3951,1.07,0
MZ_024,MANIZALES,146513.89,2540.8,-75.526285,5.053097,0.2852,1.64,0
MZ_025,MANIZALES,545436.89,3980.22,-75.489419,5.067786,0.4327,1.52,0
MZ_026,MANIZALES,609922.01,3831.1,-75.49728,5.066885,0.5222,1.5,0
MZ_027,MANIZALES,618397.94,4309.27,-75.488608,5.052058,0.4185,1.01,0
MZ_028,MANIZALES,497824.46,6217.6,-75.476071,5.065313,0.1618,1.1,0
MZ_029,MANIZALES,306037.91,3166.49,-75.472864,5.061184,0.3836,1.43,0
MZ_030,MANIZALES,14340.14,641.04,-75.482555,5.062159,0.4385,1.27,0
